address,city,id,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
9675 Scranton Road,San Diego,,Karl Strauss Brewery Restaurant,CA,BrewPub,-117.2018129,32.8965882,92121,2005,2005,060730083461053,06073008346
1044 Wall St.,La Jolla,770.0,Karl Strauss Brewery Restaurant,CA,BrewPub,-117.273901462,32.8471289922,92037,2006,2015,060730082003014,06073008200
9675 Scranton Rd.,San Diego,772.0,Karl Strauss Brewery Restaurant,CA,BrewPub,-117.201977002,32.895182458,92121,2006,2015,060730083461053,06073008346
408 Shelden Ave.,Houghton,785.0,Keweenaw Brewing Co.,MI,MicroBrewery,-88.5693192219,47.1223220874,49931,2006,2015,260610008004007,26061000800
408 Shelden Avenue,Houghton,,Keweenaw Brewing Co.,MI,MicroBrewery,-88.5687585,47.1218738,49931,2005,2005,260610008004007,26061000800
190 5th Ave.,Oswego,786.0,King Arthur's Steak House & Brewery,NY,BrewPub,-76.5317769278,43.4464824351,13126,2006,2006,360750216022039,36075021602
190 5th Avenue,Oswego,,King Arthur's Steak House & Brewery,NY,BrewPub,-76.531817,43.446515,13126,2005,2005,360750216022039,36075021602
895 Oakland Avenue ,Pontiac,,King Brewery & Pub,MI,MicroBrewery,-83.3173748,42.6575357,48340,2005,2005,261251409001015,26125140900
895 Oakland Ave. ,Pontiac,787.0,King Brewery & Pub,MI,MicroBrewery,-83.3171951565,42.6571564412,48340,2006,2009,261251409001015,26125140900
402 E. Kalamazoo Ave.,Kalamazoo,791.0,Kraftbrau Brewery,MI,BrewPub,-85.5779781115,42.2941087087,49007,2006,2007,260770002011030,26077000201
402 E. Kalamazoo Avenue,Kalamazoo,,Kraftbrau Brewery,MI,BrewPub,-85.5780794,42.2943055,49007,2005,2005,260770002011030,26077000201
5919 Chicago Road ,Warren,,Kuhnhenn Brewing Company ,MI,MicroBrewery,-83.0467647,42.5277682,48092,2005,2005,260992607001000,26099260700
5919 Chicago Rd. ,Warren,793.0,Kuhnhenn Brewing Company ,MI,MicroBrewery,-83.0467782053,42.5275959615,48092,2006,2015,260992607001000,26099260700
272 West Main Street,Kutztown,,Kutztown Tavern/Golden Avalanche Brewing,PA,BrewPub,-75.7781007,40.5161997,19530,2005,2005,420110140003005,42011014000
272 W. Main St.,Kutztown,794.0,Kutztown Tavern/Golden Avalanche Brewing,PA,BrewPub,-75.777880821,40.5164308712,19530,2006,2015,420110140003005,42011014000
1872 N. Commerce Street ,Milwaukee,,Lakefront Brewery ,WI,MicroBrewery,-87.905173,43.054752,53212,2005,2005,550790114001012,55079011400
1872 N. Commerce St. ,Milwaukee,807.0,Lakefront Brewery ,WI,MicroBrewery,-87.9055744541,43.054841743,53212,2006,2015,550790114001012,55079011400
710 P Street,Lincoln,,Lazlo's Brewery & Grill,NE,BrewPub,-96.710548,40.815109,68508,2005,2005,311090005001044,31109000500
545 Canal St.,Reading,828.0,Legacy Brewing Co.,PA,MicroBrewery,-75.9281415487,40.3255903086,19602,2006,2010,420110023002022,42011002300
545 Canal Street,Reading,,Legacy Brewing Co.,PA,MicroBrewery,-75.9282624,40.3256377,19602,2005,2005,420110023002022,42011002300
321 W 7th St.,Richmond,829.0,Legend Brewing Co.,VA,BrewPub,-77.4425475863,37.5261336882,23224,2006,2015,517600610002038,51760061000
321 W 7th Street,Richmond,,Legend Brewing Co.,VA,BrewPub,-77.4429803,37.5266679,23224,2005,2005,517600610002038,51760061000
2840 Shawano Ave.,Green Bay,831.0,Legends Brewhouse & Eatery,WI,BrewPub,-88.0985600045,44.553142111,54313,2006,2015,550090205033015,55009020503
2840 Shawano Avenue,Green Bay,,Legends Brewhouse & Eatery,WI,BrewPub,-88.0975927,44.5532643,54313,2005,2005,550090205033015,55009020503
875 Heritage Road,DePere,,Legends Brewhouse & Eatery,WI,BrewPub,-88.0577454,44.4288856,54115,2005,2005,550090103003032,55009010300
1622 Grand Ave.,Laramie,843.0,Library Restaurant & Brewing Co.,WY,BrewPub,-105.575758963,41.3098648095,82070,2006,2008,560019636003001,56001963600
1622 Grand Avenue,Laramie,,Library Restaurant & Brewing Co.,WY,BrewPub,-105.5750957,41.3097038,82070,2005,2005,560019636003001,56001963600
410 S. Washington ,Royal Oak,846.0,Lily's Seafood Grill & Brewery ,MI,BrewPub,-83.146602028,42.4869610047,48067,2006,2015,261251845001017,26125184500
410 South Washington ,Royal Oak,,Lily's Seafood Grill & Brewery ,MI,BrewPub,-83.1469215,42.4868919,48067,2005,2005,261251845001017,26125184500
3301 E. 5th St. ,Austin,851.0,Live Oak Brewing Company ,TX,MicroBrewery,-97.7056462846,30.2546745161,78702,2006,2015,484530009022037,48453000902
3301 E. 5th Street ,Austin,,Live Oak Brewing Company ,TX,MicroBrewery,-97.7056538,30.2543061,78702,2005,2005,484530009022037,48453000902
