address,city,id,name,state,type,x,y,zip,first_appearance,final_appearance,block_fips,tract_fips
339 N.E. Cedar St.,Camas,3734,Mill City Brew Werks,WA,BrewPub,-122.403731,45.585479,98607,2014,2015,530110415003042,53011041500
2803 NW Hill St.,Camas,3030,Shooter Brew Co.,WA,MicroBrewery,-122.418951,45.599645,98607,2011,2015,530110406101006,53011040610
1120 SE Rasmussen Blvd.,Battle Ground,5959,Brothers Cascadia Brewing,WA,Brewery,-122.525261,45.775645,98604,2015,2015,530110404073002,53011040407
1401 SE Rasmussen Blvd.,Battle Ground,2373,Laurelwood Brewing,WA,BrewPub,-122.522904,45.775257,98604,2010,2015,530110404073004,53011040407
118 W. Pacific Ave.,Westport,3220,Westport Brewing Co.,WA,MicroBrewery,-124.104534,46.890527,98595,2012,2015,530270016001077,53027001600
117 Grand Fir,Toledo,3536,St. Helens Brewing Co.,WA,MicroBrewery,-122.797317,46.432668,98591,2013,2015,530419717001071,53041971700
233 S. 1st St.,Shelton,2602,Grove Street Brewhouse,WA,BrewPub,-123.100544,47.211709,98584,2010,2015,530459608003057,53045960800
5945 Prather Rd.,Centralia,,Dick's Brewing Co. & NW Sausage & Deli,WA,BrewPub,-123.0072971,46.7715804,98531,2005,2010,530670127205054,53067012720
112 N. Tower Ave.,Centralia,,McMenamin's Olympic Club,WA,BrewPub,-122.95383,46.716607,98531,2005,2015,530419704002060,53041970400
3516 Galvin Rd.,Centralia,336,Dick's Brewing Co.,WA,MicroBrewery,-123.001538,46.735107,98531,2011,2015,530419703003021,53041970300
8100 Freedom Lane NE,Lacey,1470,Ram Restaurant & Brewery,WA,BrewPub,-122.764600309,47.0613005366,98516,2007,2015,530670123302009,53067012330
8343 Hogum Bay Ln.,Lacey,5663,Top Rung Brewing Co.,WA,Brewery,-122.7630054,47.0764348,98516,2015,2015,530670122222035,53067012222
2442 Mottman Rd.,Tumwater,5121,Hoh River Brewery,WA,Brewery,-122.9339523,47.0260544,98512,2015,2015,530670109102009,53067010910
1225 Ruddell Rd. SE,Lacey,1544,Speedway Brewing Co.,WA,BrewPub,-122.818,47.0363,98503,2007,2010,530670112002003,53067011200
515 Jefferson SE,Olympia,,"Fish Brewery, Brewpub & Café",WA,BrewPub,-122.8967194,47.043726,98501,2005,2006,530670101001057,53067010100
515 Jefferson St. SE,Olympia,410,Fish Tale Brew Pub,WA,BrewPub,-122.896823376,47.0441540843,98501,2007,2015,530670101001057,53067010100
114 4th Ave. E.,Olympia,2528,McMenamins Spar Café,WA,BrewPub,-122.901473,47.045064,98501,2010,2015,530670101001030,53067010100
"600 Franklin St. SE, Suite 102",Olympia,5007,Three Magnets Brewing Co.,WA,Brewery,-122.898597,47.043148,98501,2015,2015,530670101002004,53067010100
10019 59th Ave.,Lakewood,,Ram Restaurant & Brewery,WA,BrewPub,-122.5153212,47.1658225,98499,2005,2015,530530719011029,53053071901
9007 S. 19th St.,Tacoma,4264,Narrows Brewing,WA,MicroBrewery,-122.556808,47.242697,98466,2014,2015,530530610013004,53053061001
509 1/2 Puyallup Ave.,Tacoma,3533,Wingman Brewers,WA,MicroBrewery,-122.427726,47.240834,98421,2013,2015,530530602001176,53053060200
4502 S. Steele St.,Tacoma,2314,BJ's Brewhouse,WA,BrewHouse,-122.467853,47.217893,98409,2009,2015,530530626002027,53053062600
611 N. Pine St.,Tacoma,391,Engine House No. 9,WA,BrewPub,-122.473132758,47.255297744,98406,2014,2015,530530612006001,53053061200
611 N. Pine,Tacoma,,Engine House No. 9,WA,BrewPub,-122.4733039,47.2559808,98406,2005,2013,530530607003017,53053060700
716 Pacific Ave.,Tacoma,5220,Odd Otter Brewing,WA,Brewery,-122.4394619,47.2567423,98405,2015,2015,530530616011019,53053061601
755 Broadway,Tacoma,2058,Broadway Speakeasy,WA,BrewPub,-122.440634,47.256462,98402,2008,2008,530530616011022,53053061601
3001 Ruston Way,Tacoma,,Ram Restaurant & Brewery,WA,BrewPub,-122.4747625,47.2797258,98402,2005,2015,530530605001002,53053060500
204 St. Helens Ave.,Tacoma,2693,Harmon Tap Room,WA,BrewPub,-122.446005,47.261926,98402,2011,2015,530530615002004,53053061500
625 St. Helens Ave.,Tacoma,3808,Tacoma Brewing Co. @ Amocat Cafe,WA,BrewPub,-122.44309,47.258288,98402,2013,2015,530530616011026,53053061601
203 Tacoma Ave. S,Tacoma,2108,Harmon Hub,WA,BrewHouse,-122.446337,47.261826,98402,2009,2015,530530615002009,53053061500
1938 Pacific Ave.,Tacoma,,Harmon Brewery & Restaurant,WA,BrewPub,-122.4367085,47.2436559,98402,2005,2015,530530616021018,53053061602
1920 Jefferson,Tacoma,,Rock Wood Fired Pizza & Spirits,WA,BrewPub,-122.4392937,47.2441065,98402,2005,2006,530530616021022,53053061602
3017 N. Ruston Way,Tacoma,,C.I. Shenanigans,WA,BrewPub,-122.4756902,47.2801673,98402,2005,2013,530530605001002,53053060500
610 Pacific Ave.,Tacoma,4293,Pacific Brewing & Malting Co.,WA,Brewery,-122.440514,47.258713,98402,2015,2015,530530615001016,53053061500
9960 Silverdale Way NW,Silverdale,,Heads Up Brewing Co.,WA,BrewPub,-122.6903787,47.6529737,98383,2005,2008,530350912011018,53035091201
10315 Silverdale Way NW,Silverdale,2603,Hale's Ales House,WA,BrewHouse,-122.689691,47.656462,98383,2011,2015,530350912011008,53035091201
2799 NW Myhre Rd.,Silverdale,,Silver City Restaurant & Brewery,WA,BrewPub,-122.6873199,47.659338,98383,2005,2015,530350912011006,53035091201
14974 Olympic View Loop Rd NE,Silverdale,3914,Rainy Daze Brewing,WA,MicroBrewery,-122.740622,47.698422,98383,2013,2015,530350913021001,53035091302
103 35th Ave. SE,Puyallup,1028,Ram Restaurant & Brewery,WA,BrewHouse,-122.292517974,47.1578977912,98374,2011,2015,530530712073011,53053071207
10403 156th St. E,Puyallup,2802,Ram Restaurant & Brewery,WA,BrewHouse,-122.290308,47.115045,98374,2011,2015,530530731221000,53053073122
103 35th Ave.,Puyallup,,Ram Restaurant & Brewery,WA,BrewPub,-122.292323,47.159888,98374,2005,2010,530530712073008,53053071207
454 E. Main,Puyallup,,Power House Restaurant & Brewery,WA,BrewPub,-122.2880143,47.1915963,98372,2005,2015,530530734071020,53053073407
719 4th St. SE,Puyallup,3241,DUO Brewing (by appt only),WA,MicroBrewery,-122.289316,47.185883,98372,2012,2015,530530734042004,53053073404
120 S. Meridian,Puyallup,3768,Puyallup River Brewing Alehouse,WA,MicroBrewery,-122.293714,47.19157,98371,2014,2015,530530734071032,53053073407
795 NW Finn Hill Rd.,Poulsbo,3000,Slippery Pig Brewery,WA,MicroBrewery,-122.6601201,47.750737,98370,2012,2015,530350905011009,53035090501
18970 3rd Ave NE,Poulsbo,2786,Valholl Brewing,WA,Brewery,-122.645267,47.735177,98370,2015,2015,530350905013006,53035090501
650 NW Bovela Ln.,Poulsbo,2785,Sound Brewery,WA,MicroBrewery,-122.658291,47.73983,98370,2012,2015,530350905011001,53035090501
21812 Clear Creek Rd. NW,Poulsbo,3134,Battenkill Brewing Co.,WA,MicroBrewery,-122.68631,47.760226,98370,2012,2012,530350904001000,53035090400
12356 S. Keyport Rd. NE,Poulsbo,6015,Barksalot Brewing,WA,Brewery,-122.619957,47.675388,98370,2015,2015,530350911001059,53035091100
20186 Front St. NE,Poulsbo,2786,Valholl Brewing,WA,MicroBrewery,-122.6505094,47.7459451,98370,2011,2014,530350905012002,53035090501
635 Water St.,Port Townsend,,Water Street Brewing & Ale House,WA,BrewPub,-122.7540022,48.1151637,98368,2005,2010,530319506013008,53031950601
330 10th St.,Port Townsend,,Port Townsend Brewing Co.,WA,MicroBrewery,-122.7809419,48.1071979,98368,2005,2015,530319506015057,53031950601
1307 Bay St.,Port Orchard,3800,Slaughter County Brewing Co.,WA,BrewPub,-122.628932,47.542826,98366,2013,2015,530350922001009,53035092200
110 N. Laurel St.,Port Angeles,3265,Barhop Brewing,WA,MicroBrewery,-123.433505,48.119271,98362,2012,2015,530090009001005,53009000900
"4017 Mt Angeles Rd,",Port Angeles,3529,Dungeness Brewing,WA,MicroBrewery,-123.418515,48.089543,98362,2013,2014,530090012002030,53009001200
2506 W. 19th St.,Port Angeles,3600,Twin Peaks Brewing & Malting Co.,WA,MicroBrewery,-123.49474,48.121731,98362,2014,2015,530090007002017,53009000700
130 S. Lincoln St.,Port Angeles,1526,Peaks Brew Pub,WA,BrewPub,-123.4321,48.118,98362,2007,2014,530090009001003,53009000900
26449 Bond Rd. NE,Kingston,,Hood Canal Brewery ,WA,MicroBrewery,-122.5727618,47.8029846,98346,2005,2015,530350901013028,53035090101
10991 NE State Highway 104,Kingston,5627,Downpour Brewing Co.,WA,Brewery,-122.500168,47.801037,98346,2015,2015,530350901021039,53035090102
27307 - 159th Ave E,Graham,3336,M.T. Head Brewing Co.,WA,MicroBrewery,-122.220123,47.008399,98338,2012,2015,530530731192030,53053073119
3207 57th St. Ct. NW,Gig Harbor,2513,7 Seas Brewing,WA,MicroBrewery,-122.583827,47.310429,98335,2010,2013,530530724071001,53053072407
