"","tractfips","cnt"
"635","08117000401",1
"636","08119010104",3
"637","08123000701",1
"638","08123000900",1
"639","08123001414",1
"640","08123002007",1
"641","08123002013",1
"642","08123002207",1
"643","09001020100",1
"644","09001022300",1
"645","09001060600",1
"646","09001080200",1
"647","09003406100",1
"648","09003420500",1
"649","09003468102",1
"650","09003471200",1
"651","09003471500",1
"652","09003484100",1
"653","09003502100",1
"654","09003511300",1
"655","09003514102",1
"656","09003514500",1
"657","09009140100",1
"658","09009150900",1
"659","09009160200",1
"660","09009184200",1
"661","09009184700",1
"662","09009346102",1
"663","09009361200",1
"664","09011705101",1
"665","09011705200",1
"666","09011705300",1
"667","09015800600",1
"668","10001041000",1
"669","10003002700",1
"670","10003011900",1
"671","10003013608",1
"672","10003014502",2
"673","10003014906",1
"674","10005050504",1
"675","10005050802",1
"676","10005051102",1
"677","10005051900",1
"678","11001001702",1
"679","11001004801",1
"680","11001004902",1
"681","11001005800",3
"682","11001007200",1
"683","11001008803",1
"684","11001008903",1
"685","11001009201",1
"686","11001011100",1
"687","12001000500",1
"688","12001001521",1
"689","12001002217",1
"690","12009064127",1
"691","12009064902",1
"692","12009068101",1
"693","12009069700",1
"694","12011020316",1
"695","12011020320",1
"696","12011050602",1
"697","12011070207",1
"698","12011090102",1
"699","12011110336",1
"700","12017450500",1
"701","12019030301",1
"702","12021010506",1
"703","12031000800",1
"704","12031002101",1
"705","12031014001",1
"706","12031014102",1
"707","12031014204",1
"708","12031014401",1
"709","12031014406",1
"710","12031017100",1
"711","12033000800",2
"712","12053041401",1
"713","12057000101",1
"714","12057002200",2
"715","12057003900",1
"716","12057004600",1
"717","12057010105",1
"718","12057011107",1
"719","12057011412",1
"720","12057012211",2
"721","12069030914",1
"722","12069031309",1
"723","12071040116",1
"724","12073002005",1
"725","12073002416",1
"726","12081000703",1
"727","12085001301",1
"728","12086002800",2
"729","12086004204",1
"730","12086006713",1
"731","12086011500",1
"732","12086980300",1
"733","12087972100",1
"734","12087972500",1
"735","12089050102",1
"736","12091022600",1
"737","12091023306",1
"738","12095014504",1
"739","12095015901",1
"740","12095017103",1
"741","12095017107",1
"742","12095018500",1
"743","12097042100",1
"744","12099000102",1
"745","12099002600",1
"746","12099005808",1
"747","12099007302",1
"748","12099007607",1
"749","12099007618",1
"750","12101031701",1
"751","12103021500",1
"752","12103021600",1
"753","12103021800",1
"754","12103021900",1
"755","12103024406",1
"756","12103024512",1
"757","12103024902",1
"758","12103025009",1
"759","12103025603",1
"760","12103026913",1
"761","12103027101",2
"762","12103027308",1
"763","12103027326",1
"764","12103028402",1
"765","12109020500",1
"766","12109021004",1
"767","12115000101",1
"768","12115001302",1
"769","12115002003",1
"770","12117021503",1
"771","12127080400",1
"772","12127080803",1
"773","12127081102",1
"774","12127082301",1
"775","13031110403",1
"776","13031110500",1
"777","13051000300",1
"778","13051000601",1
"779","13053020201",1
"780","13059000100",1
"781","13059130300",1
"782","13067030227",1
"783","13067030412",1
"784","13089022600",1
"785","13089022800",2
"786","13089023000",1
"787","13111050400",2
"788","13117130302",1
"789","13121000400",1
"790","13121001002",1
"791","13121001202",1
"792","13121001900",1
"793","13121003000",1
"794","13121005300",1
"795","13121008902",1
"796","13121008904",1
"797","13121009102",1
"798","13121009603",1
"799","13121010212",1
"800","13121010514",1
"801","13121011610",1
"802","13121011619",1
"803","13121011621",1
"804","13135050718",1
"805","13151070502",1
"806","13187960202",1
"807","13215011100",1
"808","15001021601",1
"809","15001021702",1
"810","15003000112",1
"811","15003003700",1
"812","15003003800",1
"813","15003003900",1
"814","15003005700",2
"815","15003007503",1
"816","15007040500",1
"817","15007040700",1
"818","15009031405",1
"819","15009031502",1
"820","16001000100",2
"821","16001000202",1
"822","16001000701",1
"823","16001001100",2
"824","16001002302",1
"825","16001002410",1
"826","16001002412",1
"827","16001010313",1
